Tahun,Lombok Barat,Lombok Tengah,Lombok Timur,Sumbawa,Dompu,Bima,Sumbawa Barat,Lombok Utara,Mataram,Kota Bima,Rata-rata/Tahun
2001,154829,357214,276463,267145,104231,203560,0,0,17138,0,138058
2002,162676,327389,245787,265058,92087,166832,0,0,24152,0,128398.1
2003,160888,315358,239401,297409,103100,170821,0,0,17019,20117,132411.3
2004,167513,323181,248720,295793,100174,171235,0,0,17155,21500,134527.1
2005,160137,305466,242420,226185,85476,148118,64207,0,17374,18406,126778.9
2006,167858,332311,272220,267232,92135,197678,58596,0,17732,18905,142466.7
2007,187587,310216,268573,264441,99134,192981,49195,0,18716,19253,141009.6
2008,182608,348493,298886,298322,110139,210275,66908,0,21467,20201,155729.9
2009,186067,375732,297678,334906,123519,227760,59569,0,22859,25721,165381.1
2010,134261,369961,297087,310396,132931,214816,75072,45367,20416,20359,162066.6
2011,144315,431852,336609,359541,139090,289651,86912,56949,27217,26143,189827.9
2012,151353,422940,3405585,3605835,141902,279027,95076,53884,27328,27489,821041.9
2013,179897,421227,340205,422532,137958,263339,85985,59979,30873,27258,196925.3
2014,159817,400406,311687,401357,139860,282954,88655,59345,30960,29069,190411
2015,185647,437240,451970,440576,167434,309221,98276,58082,32258,29503,221020.7
2016,180071,370445,337877,407186,135369,291738,86765,42706,37040,26669,191586.6
2017,180406,461411,392816,412331,210935,326175,97032,48204,31476,28259,218904.5
2018,184480,465349,409709,439325,254615,357247,100450,52679,34540,29776,232817
